lead_days,z,stockout_series_days,lost_volume_ml,fill_rate,mean_closing_ml_per_series,period_turnover
1,1.282,693,129076.38887029403,0.6738541732349889,237.53791850278552,11.694905684718545
1,1.645,606,99200.43426828316,0.749343718606902,278.91026706877295,11.075932938353702
1,2.326,409,56230.58760290043,0.8579184648428679,359.9031660660339,9.827071047922376
2,1.282,474,88957.13933680214,0.7752261276475116,329.82331803333113,9.689710302467684
2,1.645,373,66305.77349623833,0.8324608279988756,389.60251123081014,8.808578054093724
2,2.326,217,37656.35676295711,0.9048511992247146,510.5617781440317,7.3062178060266065
3,1.282,384,74061.85156427906,0.8128630338856775,407.77767247628583,8.217839956813654
3,1.645,280,55052.75716272516,0.860894566716046,482.34712328517827,7.3579023882557
3,2.326,158,33210.632084502606,0.9160845050486108,630.7920410847598,5.987052690337136
